Componente 1,Componente 2,Cluster,Curso
-0.29218906,-0.10992549,3,Lei nº 8112/90 e suas alterações 
0.12986012,0.22156848,4,"Saúde mental, atenção psicossocial e interculturalidade nas migrações "
0.1545799,-0.04828609,1,Para Fazer uma Exposição 
0.23605059,-0.111792825,1,Educação Financeira Pessoal 
-0.14091848,-0.051875252,3,Processo Legislativo Orçamentário - Orçamento Impositivo 
-0.1932498,0.2816748,0,Análise de Condutas Unilaterais Restritivas à Concorrência 
0.17157884,-0.061479177,1,Aplicação do Power BI para Aprimoramento da Gestão 
-0.2932388,0.06876532,0,Censo Cadastral Previdenciário 
0.055380423,-0.113504246,1,Noções Básicas do Trabalho Remoto 
0.17157893,-0.06147973,1,Aplicação do Power BI para Aprimoramento da Gestão 
-0.17053163,0.33961612,0,"Licitação por concorrência, concurso, leilão e diálogo competitivo "
0.06270538,-0.15624158,1,Reconhecimento de Riscos Químicos nos Ambientes de Trabalho 
0.10795533,-0.05017032,1,Gestão de Riscos em Processos de Trabalho (segundo o Coso) 
0.23771892,-0.14160025,1,Qualificação em Dimensionamento da Força de Trabalho 
-0.29218987,-0.10992551,3,Lei nº 8112/90 e suas alterações 
0.23376915,0.12999694,4,"Comunicação Assertiva: Oratória, Retórica e Técnicas de Apresentação "
-0.17053163,0.33961612,0,"Licitação por concorrência, concurso, leilão e diálogo competitivo "
-0.14274505,-0.09996752,3,Análise e Melhoria de Processos 
0.16837814,-0.20574148,2,Papéis de Trabalho em Auditoria Interna Governamental 
0.2282422,0.14022137,4,Controles Institucional e Social dos Gastos Públicos 
-0.26911816,-0.18398169,3,"Transferegov.br: Cadastro de Entes, Instituições e Usuários "
0.07601331,-0.507031,2,Business Intelligence no Sistema Integrado de Planejamento e Orçamento - Siop BI 
0.117414586,0.18155439,4,"Notificação de prestação de contas: análise, providências e consequências "
0.11778537,0.034090634,1,"MROSC: Execução, Monitoramento e Avaliação "
0.12615657,-0.0017768246,1,Fundamentos da Teoria da Regulação 
-0.053499084,-0.2547159,2,Colaboração com o Microsoft 365 
-0.107333295,-0.050683267,3,"Arquivos Permanentes: recolhimento, processamento técnico, preservação e acesso "
-0.393667,0.28869733,0,Tesouro Gerencial 
0.2142125,-0.13195272,1,Sistema de Controle Interno da Administração e Procuradoria Municipal 
0.01797655,0.110432975,4,Aposentadoria e Pensão de servidores: Atualizações conforme Emenda 103/2019 
-0.06882768,-0.1674978,3,Fundamentos de Transferências Voluntárias 
-0.566953,0.19521545,0,Nova Lei de Licitações: Gestão Contratual 
-0.26911816,-0.18398166,3,"Transferegov.br: Cadastro de Entes, Instituições e Usuários "
0.0009974745,0.0027071899,1,Desenvolvimento Regional: conhecendo a história e construindo o futuro 
-0.26911816,-0.18398166,3,"Transferegov.br: Cadastro de Entes, Instituições e Usuários "
0.18954201,-0.019062366,1,Contratos administrativos - Pagamento pelo fato gerador 
-0.03945894,0.20990433,4,Transferências Discricionárias da União: Execução 
0.123201214,0.06817752,1,Inteligencia Emocional 
0.011552032,-0.04984503,1,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls 
-0.06882768,-0.1674978,3,Fundamentos de Transferências Voluntárias 
0.15458056,-0.0482861,1,Para Fazer uma Exposição 
0.055903465,0.0022016289,1,SCDP - Aprovação e Pagamento 
0.04474264,0.21740656,4,Metodologias Educacionais Aplicadas à Temática Água e Sustentabilidade 
-0.05188207,0.117595494,4,Seleção de lideranças: como escolher as melhores pessoas 
0.03739795,0.05555014,1,Acessibilidade em Museus 
0.01797655,0.110432975,4,Aposentadoria e Pensão de servidores: Atualizações conforme Emenda 103/2019 
0.04840953,-0.30321655,2,"Gestão e Fiscalização de Contratos, sob o enfoque da Lei nº 14.133/21 "
0.08846689,-0.24791496,2,Internacionalização de empresas no âmbito da Receita Federal 
